e2 e1
0.035 0.25026
0.03601 0.25547
0.06079 0.37206
0.08626 0.49501
0.10244 0.64411
0.11801 0.79281
0.11913 0.7393
0.12061 0.68565
0.11472 0.53305
0.10837 0.38093
0.10222 0.30376
0.09602 0.22615
0.08026 0.17176
0.07975 0.16995
0.06509 0.11751
0.02568 0.11784
-0.01383 0.11804
-0.04517 0.12456
-0.07649 0.13108
