e2 e1
0.03309 0.1204
0.05952 0.24664
0.08764 0.374
0.09438 0.41457
0.10982 0.52238
0.13159 0.67523
0.1533 0.80392
0.16201 0.84891
0.17727 0.92094
0.21095 0.74325
0.24444 0.55865
0.2495 0.43557
0.25216 0.32143
0.25217 0.31877
0.16975 0.33412
0.08735 0.35085
0.03355 0.38104
-0.01947 0.4118
-0.02012 0.41301
-0.19042 0.49491
