41.900, 0.000, 0.000
41.874, 1.462, -0.001
41.798, 2.923, -0.002
41.670, 4.380, -0.003
41.492, 5.831, -0.004
41.263, 7.276, -0.006
40.984, 8.711, -0.007
40.655, 10.137, -0.008
40.277, 11.549, -0.009
39.849, 12.948, -0.010
39.373, 14.331, -0.011
38.849, 15.696, -0.012
38.278, 17.042, -0.013
37.659, 18.368, -0.014
36.996, 19.671, -0.016
36.286, 20.950, -0.017
35.533, 22.204, -0.018
34.737, 23.430, -0.019
33.898, 24.628, -0.020
33.018, 25.796, -0.021
32.097, 26.933, -0.022
31.138, 28.037, -0.023
30.140, 29.106, -0.024
29.106, 30.140, -0.026
28.037, 31.138, -0.027
26.933, 32.097, -0.028
25.796, 33.018, -0.029
24.628, 33.898, -0.030
23.430, 34.737, -0.031
22.204, 35.533, -0.032
20.950, 36.286, -0.033
19.671, 36.996, -0.034
18.368, 37.659, -0.036
17.042, 38.278, -0.037
15.696, 38.849, -0.038
14.331, 39.373, -0.039
12.948, 39.849, -0.040
11.549, 40.277, -0.041
10.137, 40.655, -0.042
8.711, 40.984, -0.043
7.276, 41.263, -0.044
5.831, 41.492, -0.046
4.380, 41.670, -0.047
2.923, 41.798, -0.048
1.462, 41.874, -0.049
0.000, 41.900, -0.050
-1.462, 41.874, -0.051
-2.923, 41.798, -0.052
-4.380, 41.670, -0.053
-5.831, 41.492, -0.054
-7.276, 41.263, -0.056
-8.711, 40.984, -0.057
-10.137, 40.655, -0.058
-11.549, 40.277, -0.059
-12.948, 39.849, -0.060
-14.331, 39.373, -0.061
-15.696, 38.849, -0.062
-17.042, 38.278, -0.063
-18.368, 37.659, -0.064
-19.671, 36.996, -0.066
-20.950, 36.286, -0.067
-22.204, 35.533, -0.068
-23.430, 34.737, -0.069
-24.628, 33.898, -0.070
-25.796, 33.018, -0.071
-26.933, 32.097, -0.072
-28.037, 31.138, -0.073
-29.106, 30.140, -0.074
-30.140, 29.106, -0.076
-31.138, 28.037, -0.077
-32.097, 26.933, -0.078
-33.018, 25.796, -0.079
-33.898, 24.628, -0.080
-34.737, 23.430, -0.081
-35.533, 22.204, -0.082
-36.286, 20.950, -0.083
-36.996, 19.671, -0.084
-37.659, 18.368, -0.086
-38.278, 17.042, -0.087
-38.849, 15.696, -0.088
-39.373, 14.331, -0.089
-39.849, 12.948, -0.090
-40.277, 11.549, -0.091
-40.655, 10.137, -0.092
-40.984, 8.711, -0.093
-41.263, 7.276, -0.094
-41.492, 5.831, -0.096
-41.670, 4.380, -0.097
-41.798, 2.923, -0.098
-41.874, 1.462, -0.099
-41.900, 0.000, -0.100
-41.874, -1.462, -0.101
-41.798, -2.923, -0.102
-41.670, -4.380, -0.103
-41.492, -5.831, -0.104
-41.263, -7.276, -0.106
-40.984, -8.711, -0.107
-40.655, -10.137, -0.108
-40.277, -11.549, -0.109
-39.849, -12.948, -0.110
-39.373, -14.331, -0.111
-38.849, -15.696, -0.112
-38.278, -17.042, -0.113
-37.659, -18.368, -0.114
-36.996, -19.671, -0.116
-36.286, -20.950, -0.117
-35.533, -22.204, -0.118
-34.737, -23.430, -0.119
-33.898, -24.628, -0.120
-33.018, -25.796, -0.121
-32.097, -26.933, -0.122
-31.138, -28.037, -0.123
-30.140, -29.106, -0.124
-29.106, -30.140, -0.126
-28.037, -31.138, -0.127
-26.933, -32.097, -0.128
-25.796, -33.018, -0.129
-24.628, -33.898, -0.130
-23.430, -34.737, -0.131
-22.204, -35.533, -0.132
-20.950, -36.286, -0.133
-19.671, -36.996, -0.134
-18.368, -37.659, -0.136
-17.042, -38.278, -0.137
-15.696, -38.849, -0.138
-14.331, -39.373, -0.139
-12.948, -39.849, -0.140
-11.549, -40.277, -0.141
-10.137, -40.655, -0.142
-8.711, -40.984, -0.143
-7.276, -41.263, -0.144
-5.831, -41.492, -0.146
-4.380, -41.670, -0.147
-2.923, -41.798, -0.148
-1.462, -41.874, -0.149
-0.000, -41.900, -0.150
1.462, -41.874, -0.151
2.923, -41.798, -0.152
4.380, -41.670, -0.153
5.831, -41.492, -0.154
7.276, -41.263, -0.156
8.711, -40.984, -0.157
10.137, -40.655, -0.158
11.549, -40.277, -0.159
12.948, -39.849, -0.160
14.331, -39.373, -0.161
15.696, -38.849, -0.162
17.042, -38.278, -0.163
18.368, -37.659, -0.164
19.671, -36.996, -0.166
20.950, -36.286, -0.167
22.204, -35.533, -0.168
23.430, -34.737, -0.169
24.628, -33.898, -0.170
25.796, -33.018, -0.171
26.933, -32.097, -0.172
28.037, -31.138, -0.173
29.106, -30.140, -0.174
30.140, -29.106, -0.176
31.138, -28.037, -0.177
32.097, -26.933, -0.178
33.018, -25.796, -0.179
33.898, -24.628, -0.180
34.737, -23.430, -0.181
35.533, -22.204, -0.182
36.286, -20.950, -0.183
36.996, -19.671, -0.184
37.659, -18.368, -0.186
38.278, -17.042, -0.187
38.849, -15.696, -0.188
39.373, -14.331, -0.189
39.849, -12.948, -0.190
40.277, -11.549, -0.191
40.655, -10.137, -0.192
40.984, -8.711, -0.193
41.263, -7.276, -0.194
41.492, -5.831, -0.196
41.670, -4.380, -0.197
41.798, -2.923, -0.198
41.874, -1.462, -0.199
41.900, -0.000, -0.200
41.874, 1.462, -0.201
41.798, 2.923, -0.202
41.670, 4.380, -0.203
41.492, 5.831, -0.204
41.263, 7.276, -0.206
40.984, 8.711, -0.207
40.655, 10.137, -0.208
40.277, 11.549, -0.209
39.849, 12.948, -0.210
39.373, 14.331, -0.211
38.849, 15.696, -0.212
38.278, 17.042, -0.213
