12.900, 17.042, -38.278, -0.163
12.988, 18.368, -37.659, -0.164
13.076, 19.671, -36.996, -0.166
13.163, 20.950, -36.286, -0.167
13.251, 22.204, -35.533, -0.168
13.339, 23.430, -34.737, -0.169
13.427, 24.628, -33.898, -0.170
13.514, 25.796, -33.018, -0.171
13.602, 26.933, -32.097, -0.172
13.690, 28.037, -31.138, -0.173
13.778, 29.106, -30.140, -0.174
13.865, 30.140, -29.106, -0.176
13.953, 31.138, -28.037, -0.177
14.041, 32.097, -26.933, -0.178
14.129, 33.018, -25.796, -0.179
14.216, 33.898, -24.628, -0.180
14.304, 34.737, -23.430, -0.181
14.392, 35.533, -22.204, -0.182
14.480, 36.286, -20.950, -0.183
14.567, 36.996, -19.671, -0.184
14.655, 37.659, -18.368, -0.186
14.743, 38.278, -17.042, -0.187
14.831, 38.849, -15.696, -0.188
14.918, 39.373, -14.331, -0.189
15.006, 39.849, -12.948, -0.190
15.094, 40.277, -11.549, -0.191
15.182, 40.655, -10.137, -0.192
15.269, 40.984, -8.711, -0.193
15.357, 41.263, -7.276, -0.194
15.445, 41.492, -5.831, -0.196
15.533, 41.670, -4.380, -0.197
15.620, 41.798, -2.923, -0.198
15.708, 41.874, -1.462, -0.199
15.796, 41.900, -0.000, -0.200
15.884, 41.874, 1.462, -0.201
15.971, 41.798, 2.923, -0.202
16.059, 41.670, 4.380, -0.203
16.147, 41.492, 5.831, -0.204
16.235, 41.263, 7.276, -0.206
16.322, 40.984, 8.711, -0.207
16.410, 40.655, 10.137, -0.208
16.498, 40.277, 11.549, -0.209
16.586, 39.849, 12.948, -0.210
16.673, 39.373, 14.331, -0.211
16.761, 38.849, 15.696, -0.212
16.849, 38.278, 17.042, -0.213
16.937, 37.659, 18.368, -0.214
17.025, 36.996, 19.671, -0.216
17.112, 36.286, 20.950, -0.217
17.200, 35.533, 22.204, -0.218
17.288, 34.737, 23.430, -0.219
17.376, 33.898, 24.628, -0.220
17.463, 33.018, 25.796, -0.221
17.551, 32.097, 26.933, -0.222
17.639, 31.138, 28.037, -0.223
17.727, 30.140, 29.106, -0.224
17.814, 29.106, 30.140, -0.226
17.902, 28.037, 31.138, -0.227
