e2 e1
0.03964 0.13177
0.03982 0.13288
0.06618 0.235
0.07907 0.2831
0.09203 0.33643
0.11541 0.41701
0.13816 0.49744
0.16149 0.53265
0.18459 0.56748
0.21167 0.50063
0.23995 0.43477
0.22792 0.36551
0.21715 0.29609
0.14497 0.32064
0.07272 0.34484
0.02015 0.37436
-0.03232 0.40366
-0.03223 0.40342
-0.1836 0.47966
